"id","title","jurisdiction","organization"
"9b9731f2-f691-4d05-8a25-29a46e6113da"," Seventh Annual (2021) Statutory Report Pursuant to Section 2 of the Indian Act Amendment and Replacement Act, Statutes of Canada, Chapter 38, 2014","federal","Indigenous Services Canada | Services aux Autochtones Canada"
"1694e167-f6f4-48a4-b40c-78ddb9587777","2016 population ecumene by census subdivision","federal","Natural Resources Canada | Ressources naturelles Canada"
"2af289d8-a0de-425a-b662-3e3ab67c432a","2018-2019 Reports by Federal Authorities with Obligations under Section 71 of the Canadian Environmental Assessment Act, 2012","federal","Impact Assessment Agency of Canada | Agence d'évaluation d'impact du Canada"
"f5ea0563-6120-4945-b35c-959a978f6577","2019 to 2020 Annual Report to Parliament: Access to Information Act","federal","Indigenous Services Canada | Services aux Autochtones Canada"
"2dd01ced-8894-4dcd-bcb1-7f0324f8a35b","2019 to 2020 Annual Report to Parliament: Privacy Act","federal","Indigenous Services Canada | Services aux Autochtones Canada"
"027f23b8-2dd7-4325-a264-51a3ec0022ef","2019-2020 Annual Report: Specific Claims Tribunal Canada","federal","Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada"
"967eea13-e22e-42dc-aa8e-0748ba748cb9","2019-2020 Reports by Federal Authorities with Obligations under Section 71 of the Canadian Environmental Assessment Act, 2012","federal","Impact Assessment Agency of Canada | Agence d'évaluation d'impact du Canada"
"f7b69659-b882-4477-b56b-b61d4bc97c25","2020 to 2021 Annual Report to Parliament: Access to Information Act","federal","Indigenous Services Canada | Services aux Autochtones Canada"
"3d410755-9c06-47af-bf26-df60559eb8b0","2020 to 2021 Annual Report to Parliament: Privacy Act","federal","Indigenous Services Canada | Services aux Autochtones Canada"
"60871a17-c5a1-409a-ae71-618e3589efbf","2020-2021 Annual Report to Parliament on the Access to Information Act","federal","Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada"
"012290f5-a9d5-49b3-8310-d084d178f236","2020-2021 Annual Report to Parliament on the Privacy Act","federal","Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada"
"98ef18b6-9b76-4be8-be98-2a07d7bf0f45","2020-2021 Reports by Federal Authorities with Obligations under Section 71 of the Canadian Environmental Assessment Act, 2012","federal","Impact Assessment Agency of Canada | Agence d'évaluation d'impact du Canada"
"1351777f-dd2e-414b-8487-c44ea82955d3","2020-21 Departmental Sustainable Development Strategy Report","federal","Indigenous Services Canada | Services aux Autochtones Canada"
